,q_init_value,alpha_rate,epsilon_rate,gamma_rate,success_perc,traffic_violations_avg,explored_states_avg,reward_cum_avg,actions_avg
206,1.0,0.3,0.05,0.85,20.0,5.1,26.5,-1.9,22.7
207,1.0,0.3,0.05,0.9,30.0,3.6,28.7,-1.35,24.7
208,1.0,0.3,0.05,0.95,50.0,5.1,25.1,2.2,19.9
209,1.0,0.3,0.05,1.0,20.0,0.5,19.4,3.0,24.2
210,1.0,0.3,0.1,0.8,20.0,2.3,26.5,6.15,27.8
211,1.0,0.3,0.1,0.85,60.0,5.3,29.0,-3.25,18.1
212,1.0,0.3,0.1,0.9,60.0,2.7,27.8,1.2,25.2
213,1.0,0.3,0.1,0.95,0.0,3.1,27.0,0.75,28.0
214,1.0,0.3,0.1,1.0,10.0,4.4,21.4,-2.35,28.5
215,1.0,0.3,0.15,0.8,50.0,3.4,27.0,6.7,21.5
216,1.0,0.3,0.15,0.85,40.0,6.8,26.3,-0.85,21.8
217,1.0,0.3,0.15,0.9,20.0,8.0,30.5,2.35,29.4
218,1.0,0.3,0.15,0.95,20.0,4.1,24.8,6.9,28.8
219,1.0,0.3,0.15,1.0,10.0,8.1,26.6,-2.8,28.9
220,1.0,0.3,0.2,0.8,40.0,3.1,29.1,7.3,24.1
221,1.0,0.3,0.2,0.85,20.0,4.2,29.7,2.15,31.2
222,1.0,0.3,0.2,0.9,30.0,1.8,31.1,8.2,28.6
223,1.0,0.3,0.2,0.95,40.0,7.5,27.5,-6.55,28.5
224,1.0,0.3,0.2,1.0,20.0,5.7,27.6,-4.05,25.6
225,1.0,0.35,0.0,0.8,40.0,4.1,25.2,6.05,19.9
226,1.0,0.35,0.0,0.85,0.0,1.3,25.7,15.75,34.5
227,1.0,0.35,0.0,0.9,80.0,1.9,30.8,21.3,31.1
228,1.0,0.35,0.0,0.95,10.0,11.3,31.6,-0.4,28.6
229,1.0,0.35,0.0,1.0,10.0,2.8,25.5,5.3,27.7
230,1.0,0.35,0.05,0.8,0.0,5.9,28.3,-2.05,29.0
231,1.0,0.35,0.05,0.85,30.0,3.2,26.7,3.45,26.7
232,1.0,0.35,0.05,0.9,20.0,1.5,28.4,11.6,27.3
233,1.0,0.35,0.05,0.95,40.0,5.9,27.9,-4.35,25.9
234,1.0,0.35,0.05,1.0,0.0,3.2,31.9,-2.1,28.5
235,1.0,0.35,0.1,0.8,20.0,6.7,31.0,1.6,27.3
236,1.0,0.35,0.1,0.85,40.0,2.8,27.6,4.3,22.9
237,1.0,0.35,0.1,0.9,0.0,6.8,29.7,-1.05,30.5
238,1.0,0.35,0.1,0.95,10.0,6.8,31.4,-2.35,35.7
239,1.0,0.35,0.1,1.0,10.0,3.4,27.0,-0.25,25.3
240,1.0,0.35,0.15,0.8,0.0,6.0,27.9,4.55,33.5
241,1.0,0.35,0.15,0.85,40.0,3.5,29.5,0.9,22.4
242,1.0,0.35,0.15,0.9,20.0,5.1,25.6,-0.2,25.9
243,1.0,0.35,0.15,0.95,70.0,6.8,26.9,1.9,21.5
244,1.0,0.35,0.15,1.0,20.0,2.9,32.7,-3.15,27.0
245,1.0,0.35,0.2,0.8,10.0,5.6,27.5,-0.1,30.9
246,1.0,0.35,0.2,0.85,70.0,5.4,21.9,6.35,18.5
247,1.0,0.35,0.2,0.9,20.0,7.7,24.1,-0.9,25.0
248,1.0,0.35,0.2,0.95,10.0,9.8,29.9,-1.5,29.9
249,1.0,0.35,0.2,1.0,10.0,6.6,24.5,-2.05,25.8
250,2.0,0.15,0.0,0.8,0.0,4.9,30.9,1.9,32.0
251,2.0,0.15,0.0,0.85,70.0,7.0,29.0,4.6,20.3
252,2.0,0.15,0.0,0.9,40.0,2.0,24.6,3.15,21.2
253,2.0,0.15,0.0,0.95,0.0,6.3,29.8,2.15,32.0
254,2.0,0.15,0.0,1.0,0.0,1.9,28.7,-0.65,28.5
